Company Name,Title,Location,Stipend
Xsoln,Marketing,Jaipur,"₹ 8,000 /month"
Careers360,Marketing,Work From Home,"₹ 15,000 lump sum +  Incentives"
ERIC Robotics PSIPL,Robotics,Chinchwad,"₹ 8,000-10,000 /month"
Internshala,Visual Design,Wasuli,"₹ 18,000 /month"
Scaler Academy,Content Marketing,Pune,"₹ 15,000 /month"
Tare Zameen Foundation,Fundraising,Chakan,"₹ 1,000 /month +  Incentives"
Lead Mines Media,Digital Marketing,Gurgaon,"₹ 10,000 /month"
Aam Aadmi Party,Social Media Coordination,Bangalore,Unpaid
NayePankh Foundation,Social Entrepreneurship,Work From Home,20% of Total Amount Raised
Agnihotri Securities Limited,Client Acquisition,Mumbai,"₹ 4,000-7,000 /month"
SuperNova,Customer Success,Delhi,"₹ 10,000 /month"
The Affordable Organic Store,Performance Marketing,Work From Home,"₹ 3,000 /month"
Fyle,Customer Success,Work From Home,"₹ 35,000 /month"
Contour Education,Video Editing (Educational Content),Bangalore,"₹ 7,000 /month"
Flipspaces,3D Art,Hyderabad,"₹ 10,000 /month"
Flipspaces,Graphic Design,Work From Home,"₹ 10,000 /month"
Prosperise Fortune LLP,Python Development,Work From Home,"₹ 5,000 /month"
"Nimbus Property Systems Limited (Birmingham, United Kingdom)",Quality Analytics,Mumbai,£ 150 /month
Defenzelite Private Limited,Business Development (Sales),Noida,"₹ 5,000 /month"
Wobot Intelligence Private Limited,Data Analytics,Work From Home,"₹ 10,000 /month"
Chrysalis Services,Field Studies (On Field Research) (Telugu),Work From Home,"₹ 10,000 /month"
Chrysalis Services,Field Studies (On Field Research) (Tamil),Seoni,"₹ 10,000 /month"
Headfone,Human Resources (HR),Work From Home,"₹ 1,000 /month +  Incentives"
Social Refuel Private Limited,Graphic Design,Andhra Pradesh,"₹ 5,000-15,000 /month"
Chrysalis Services,Field Studies (On Field Research) (Gujarati/Marathi),Telangana,"₹ 10,000 /month"
Innovalance Learning Systems,Subject Matter Expert (Accounts),Tamil Nadu,"₹ 15,000-17,000 /month"
Headlit Software Solutions Private Limited,Business Development (Sales),Work From Home,"₹ 8,000 /month"
danamojo,Talent Acquisition,Mumbai,"₹ 10,000-15,000 /month"
Research Intern,Business Development (Sales),Mumbai,"₹ 30,000 lump sum"
Analytics Vidhya,Customer Service/Customer Support,Ahmedabad,"₹ 20,000 /month"
One Root,Agriculture Collection Center (CC) Execution,Pune,"₹ 15,000-25,000 /month"
Relinns Technologies,Content Writing,Work From Home,"₹ 8,000 /month"
The Browser,Social Media Marketing,Chennai,"₹ 15,000 /month"
The Browser,Graphic Design,Work From Home,"₹ 15,000 /month"
The Browser,Copywriting,Pune,"₹ 15,000 /month"
Shiksha Consulting,Business Development (Sales),Gurgaon,"₹ 10,000-12,000 lump sum"
Future Skills,Recruitment Data Science Mentoring,Thalavadi,"₹ 18,000 /month"
The Souled Store,Content Creation (Shoe Category),Mandya,"₹ 10,000 /month"
Saathi Eco Innovations India Private Limited,Video Editing/Making,Nanjangud,"₹ 3,000-5,000 /month"
DeepThought Edutech Ventures Private Limited,Sales Intelligence,Chamarajanagar,"₹ 18,000 /month"
Ayurveda House Private Limited,E-commerce Executive,Mumbai,"₹ 8,000-10,000 /month"
Kredily,Business Development (Sales),Delhi,"₹ 15,000 /month"
Stareye Media & Entertainment Private Limited,Photography,Bangalore,"₹ 15,000 /month"
Stareye Media & Entertainment Private Limited,Business Development (Sales),Haridwar,"₹ 15,000 /month"
Gigde Global Solutions Private Limited,Social Media Marketing,Haridwar,"₹ 15,000 /month"
Saathi Eco Innovations India Private Limited,Reel Making,Ghaziabad,"₹ 3,000 /month"
Never Grow Up,Social Media Marketing,Noida,"₹ 10,000 /month"
Ayurveda House Private Limited,Copywriting,Ahmedabad,"₹ 8,000-10,000 /month"
Dream Square Hospitality,Franchise Sales,Mumbai,"₹ 20,000 /month +  Incentives"
Truly Sofas By Voukino Interiors LLP,Interior Design (Furniture),Delhi,"₹ 12,000 /month"
One Root,Agriculture,Noida,"₹ 15,000-25,000 /month"
V One Entertainment,Thumbnail Design/Content Creation & Video Editing,Delhi,"₹ 10,000 /month"
Episodiclabs Private Limited (Teckniklab),DeepLearning Research,Bangalore,"₹ 2,000-2,500 /month"
Fabulous Media Private Limited,Search Engine Optimization (SEO),Nanjangud,"₹ 5,000-15,000 /month"
Stareye Media & Entertainment Private Limited,Fashion Design,Chamarajanagar,"₹ 8,000 /month"
BrownRice Capital,Business Growth,Theni,"₹ 10,000 /month"
Brandshark,Graphic Design,Thalavadi,"₹ 10,000 /month"
Never Grow Up,Graphic Design,Hullahalli,"₹ 10,000 /month"
The Modern Ape,Social Media Marketing,Mandya,"₹ 8,000-10,000 /month"
Episodiclabs Private Limited (Teckniklab),3D Design (CAD),Gundlupete,"₹ 2,000-3,000 /month"
Episodiclabs Private Limited (Teckniklab),Embedded Systems,Mumbai,"₹ 2,000-2,500 /month"
Relinns Technologies,Sales,Ahmedabad,"₹ 8,000 /month"
Helloworld Technologies India Private Limited,Inside Sales,Gurgaon,"₹ 20,000 /month"
The Affordable Organic Store,CEO Assistance,Haridwar,"₹ 8,000 /month"
Avaesa,Operations,Bangalore,"₹ 5,000-10,000 /month"
Brandshark,Video Editing/Making,Bangalore,"₹ 10,000 /month"
Samodhan,Marketing,Mumbai,"₹ 20,000 /month"
Sid's Farm,Marketing,Mumbai,"₹ 15,000 /month"
Goodera,Category And Design,Ahmedabad,"₹ 10,000-20,000 /month"
Stareye Media & Entertainment Private Limited,Video Editing/Making,Ahmedabad,"₹ 4,000-8,000 /month"
Stareye Media & Entertainment Private Limited,Telecalling,Mohali,"₹ 5,000 /month"
Relinns Technologies,Digital Marketing,Bangalore,"₹ 8,000 /month"
One Root,Digital Content Creation,Hyderabad,"₹ 8,000-12,000 /month"
U ARE (Jeweltaire Lifestyle Private Limited),CAD Design,Chennai,"₹ 10,000-15,000 /month"
Gainers Realtors LLP,Marketing,Bangalore,"₹ 10,000-20,000 /month"
Blue Rose Publishers,Corporate Sales,Bangalore,"₹ 22,000 /month"
Blue Rose Publishers,Business Development (Sales),Bangalore,"₹ 20,000 /month"
Stareye Media & Entertainment Private Limited,Brand Management,Bangalore,"₹ 5,000 /month"
Abhimanyu Singhal And Company,Marketing,Noida,"₹ 5,000-10,000 /month"
Next Labs,Business Development (Sales),Noida,"₹ 10,000 /month"
Defenzelite Private Limited,Digital Marketing,Mumbai,"₹ 2,000 /month"
Defenzelite Private Limited,Quality Analyst,Seoni,"₹ 2,000 /month"
Relinns Technologies,Business Development (Sales),Seoni,"₹ 8,000 /month"
Fabulous Media Private Limited,Social Media Marketing,Mohali,"₹ 5,000-15,000 /month"
The Souled Store,Mockup Development,Chandigarh,"₹ 10,000 /month"
The Modern Ape,Event Coordination & Community Lead,Gurgaon,"₹ 8,000-10,000 /month"
Bharat Industrial Corporation,Accounts,Mumbai,"₹ 20,000-28,000 /month"
Indian Art Villa,Infographic Design,Mumbai,"₹ 6,000 /month"
Taxcellence Corporate Advisory,Chartered Accountancy (CA),Bangalore,"₹ 6,000 /month"
Innovaccer Analytics Private Limited,Operations,Jaipur,"₹ 20,000 /month"
Goodera,Ambassador Management,Delhi,"₹ 15,000 /month"
Boston Institute Of Analytics Global Education Private Limited,Journalism,Noida,"₹ 5,000 /month"
Web Dakaar Digital Consultancy LLP,Content Writing,Bangalore,"₹ 6,000 /month"
Brandshark,Videography,Mumbai,"₹ 10,000 /month"
TheWorkshop,Teaching,Mumbai,"₹ 14,000 /month"
Agua India (Loomian Enterprises Private Limited),Marketing,Thane,"₹ 3,000 /month"
The Head And Heart,Corporate Sales,Bangalore,"₹ 3,000-4,000 /month"
DeepThought Edutech Ventures Private Limited,Behavioral Data Science,Chandigarh,"₹ 18,000 /month"
Energy Alternatives India,Market Research - Sustainability & Climate Tech,Ernakulam,"₹ 15,000-20,000 /month"
Saathi Eco Innovations India Private Limited,Human Resources (HR),Ludhiana,"₹ 3,000-5,000 /month"
DeepThought Edutech Ventures Private Limited,Data Science,Hyderabad,"₹ 18,000 /month"
Homafy,Customer Service/Customer Support,Chennai,"₹ 10,000 /month"
Moxy Steel Impex,Business Development (Sales),Ahmedabad,"₹ 5,000 /month"
Wikiprospects,Search Engine Optimization (SEO),Hyderabad,"₹ 5,000 /month"
Brandshark,Sales,Delhi,"₹ 10,000 /month"
House Sparrow Films,Motion Graphics,Mumbai,"₹ 15,000 /month"
Next Labs,Client Servicing,Bangalore,"₹ 10,000 /month"
Trill Route,Creative Design,Bangalore,"₹ 15,000 /month +  Incentives"
Next Labs,Content Writing,Bangalore,"₹ 10,000 /month"
Flipspaces,Interior Design,Mumbai,"₹ 10,000 /month"
Social Refuel Private Limited,Human Resources (HR),Bangalore,"₹ 6,000-10,000 /month"
GoMechanic,Management & Founder's Office Operations,Mumbai,"₹ 10,000-20,000 /month"
The Browser,Google And Facebook Ads,Noida,"₹ 15,000 /month"
Avaesa,E-Commerce Sales,Mumbai,"₹ 4,000 /month +  Incentives"
Episodiclabs Private Limited (Teckniklab),Android App Development,Gurgaon,"₹ 2,000-2,500 /month"
Internshala,Client Interaction,Chandigarh,"₹ 18,000 /month"
DeepThought Edutech Ventures Private Limited,Business Analytics,Chennai,"₹ 18,000 /month"
Energy Alternatives India,Product Management - Climate Education Platform,Ahmedabad,"₹ 15,000-20,000 /month"
ICMG,Digital Marketing,Gurgaon,"₹ 10,000 /month"
Jarvics Technologies,Android App Development,Hyderabad,"₹ 7,000-12,000 /month"
GoMechanic,Marketing,Bangalore,"₹ 10,000-15,000 /month"
Mirabilis Design Incorporation,Visual Design,Punjab,"₹ 12,000 /month"
Flipspaces,Interior Design,Chandigarh,"₹ 10,000 /month"
ThumbStack,Project Management,Kharar,"₹ 5,000-10,000 /month"
Brandshark,Social Media Marketing,Mohali,"₹ 10,000 /month"
ASOWin,Campus Ambassador,Kurali,Performance Based
Antino Labs Private Limited,Android App Development,Ludhiana,"₹ 15,000 /month"
Future Skills,Data Analytics Mentoring,Patiala,"₹ 18,000 /month"
Express Rupya,Accounting & Tally,Ropar,"₹ 5,000 /month"
Flipspaces,Interior Design,Gurgaon,"₹ 10,000 /month"
SuperTails,Video Editing/Making,Chennai,"₹ 10,000-15,000 /month"
BusinessOnBot,QA Testing,Mumbai,"₹ 20,000-30,000 /month"
Future Skills,Software Development Mentoring,Mumbai,"₹ 18,000 /month"
DeepThought Edutech Ventures Private Limited,Backend Development,Bangalore,"₹ 18,000 /month"
Future Skills,Backend Development Mentoring,Work From Home,"₹ 18,000 /month"
Future Skills,AI Science Mentoring,Gurgaon,"₹ 18,000 /month"
Aracknoid AI Solutions (Hygge),Backend Development,Hyderabad,"₹ 5,000 /month"
Uboard India Limited,Artificial Intelligence (AI),Mumbai,"₹ 7,000-10,000 /month"
Jarvics Technologies,Flutter Development,Bangalore,"₹ 7,000-12,000 /month"
Future Skills,Web Development Mentoring,Bangalore,"₹ 18,000 /month"
Bilateral Solutions Private Limited,Business Development (Enterprise Automation),Bangalore,"₹ 15,000-20,000 /month"
Antino Labs Private Limited,PHP Development,Hyderabad,"₹ 15,000 /month"
Indian Art Villa,Customer Service/Customer Support,Hyderabad,"₹ 6,000-8,000 /month"
Gigde Global Solutions Private Limited,Campus Ambassador,Hyderabad,Performance Based
One Root,Agriculture Procurement ( Karnataka Kannada),Hyderabad,"₹ 15,000-20,000 /month"
Mojopanda Exim Private Limited,Research Assistancy (Psychology),Jaipur,"₹ 10,000 /month"
Kerkar Media,Operations,Delhi,"₹ 5,000 /month"
STEMpedia,Graphic Design,Chandigarh,"₹ 10,000 /month"
BookMyShow,Business Development (Live Entertainment),Patiala,"₹ 7,500 /month"
Sneha Chakraborty,Sales,Ludhiana,"₹ 2,000 /month +  Incentives"
BookMyShow,Ticketing (Sunburn),Rajpura,"₹ 7,500 /month"
Wander XO,Travel Consultant,Punjab,"₹ 12,000 /month"
Trijotech Software Consulting Private Limited,Marketing,Gurdaspur,"₹ 15,000 /month +  Incentives"
Internshala Trainings,Student Counseling and Support,Mohali,"₹ 18,000 /month"
Careers360,Content Writing,Hyderabad,"₹ 25,000 /month"
ThumbStack,Videography,Mandi,"₹ 5,000-10,000 /month"
The Modern Ape,Graphic Design,Gurgaon,"₹ 8,000-10,000 /month"
Saathi Eco Innovations India Private Limited,Market Research,Jaipur,"₹ 3,000 /month"
SODE Counseling Services LLP,Digital Marketing,Work From Home,"₹ 10,000 /month"
Saathi Eco Innovations India Private Limited,Graphic Design,Gundlupete,"₹ 3,000-5,000 /month"
SR Edu Technologies,Maths Training,Ahmedabad,"₹ 20,000-30,000 /month"
Jarvics Technologies,Business Development (Sales),Noida,"₹ 7,000-12,000 /month"
U ARE (Jeweltaire Lifestyle Private Limited),Graphic Design,Ahmedabad,"₹ 10,000-15,000 /month"
HOKO PRODUCTS LLP,Social Media Marketing,Hyderabad,"₹ 5,000 /month"
SR Edu Technologies,English Training,Kurali,"₹ 20,000-30,000 /month"
Saathi Eco Innovations India Private Limited,Content Writing,Morinda,"₹ 3,000-5,000 /month"
The Affordable Organic Store,Microbiology,Panchkula,"₹ 3,000 /month"
Wander XO,Visa Consulting,Patiala,"₹ 10,000 /month"
Brandshark,Search Engine Optimization (SEO),Kharar,"₹ 10,000 /month"
BookMyShow,Social Media Marketing,Mumbai,"₹ 7,500 /month"
Akrati Jewels Incorporation,Content & E-Commerce Management,Chandigarh,"₹ 10,000 /month"
Akrati Jewels Incorporation,Content Development (English),Panchkula,"₹ 10,000 /month"
Zedex Info Private Limited,Digital Marketing,Hyderabad,"₹ 12,000 /month"
U ARE (Jeweltaire Lifestyle Private Limited),Social Media Marketing,Ahmedabad,"₹ 10,000-15,000 /month"
Pereyan LLP,Supply Chain Management (SCM),Secunderabad,"₹ 12,000-15,000 /month"
ThumbStack,Business Development (Sales),Hyderabad,"₹ 5,000-10,000 /month"
FreeUp App,Fashion Catalogue,Navi Mumbai,"₹ 15,000 /month"
